Name,Price
Lotte Kopecky,12
Demi Vollering,12
Marlen Reusser,10
Lorena Wiebes,10
Liane Lippert,8
Cecilie Uttrup Ludwig,8
Katarzyna Niewiadoma,8
Silvia Persico,8
Elisa Balsamo,7
Elisa Longo Borghini,7
Shirin Van Anrooij,7
Marianne Vos,7
Mischa Bredewold,6
Grace Brown,6
Elise Chabbey,6
Chiara Consonni,6
Elizabeth Deignan,6
Chloe Dygert,6
Pfeiffer Georgi,6
Charlotte Kool,6
Juliette Labous,6
Ashleigh Moolman,6
Soraya Paladin,6
Gaia Realini,6
Christina Schweinberger,6
Zoe Backstedt,5
Lucinda Brand,5
Marta Cavalli,5
Elena Cecchini,5
Maria Giulia Confalonieri,5
Mavi Garcia,5
Vittoria Guazzini,5
Anna Henderson,5
Alison Jackson,5
Megan Jastrab,5
Yara Kastelijn,5
Floortje Mackaij,5
Riejanne Markus,5
Emma Norsgaard,5
Letizia Paternoster,5
Puck Pieterse,5
Arlenis Sierra,5
Chantal Van Den Broek-blaak,5
Maike Van Der Duin,5
Ellen Van Dijk,5
Fem Van Empel,5
Susanne Andersen,4
Rachele Barbieri,4
Elinor Barker,4
Ricarda Bauernfeind,4
Victoire Berteau,4
Sofia Bertizzolo,4
Letizia Borghesi,4
Kristyna Burlova,4
Maggie Coles-lyster,4
Clara Copponi,4
Audrey Cordon-ragot,4
Julie De Wilde,4
Amalie Dideriksen,4
Ruth Edwards,4
Kristen Faulkner,4
Niamh Fisher-black,4
Roxane Fournier,4
Justine Ghekiere,4
Sarah Gigante,4
Barbara Guarischi,4
Lotta Henttala,4
Cedrine Kerbaol,4
Anouska Koster,4
Coryn Labecki,4
Marta Lach,4
Erica Magnaldi,4
Christine Majerus,4
Femke Markus,4
Evita Muzic,4
Julie Norman Leth,4
Katia Ragusa,4
Pauliena Rooijakkers,4
Ruby Roseman-gannon,4
Sarah Roy,4
Kathrin Schweinberger,4
Anna Shackley,4
Amanda Spratt,4
Karlijn Swinkels,4
Marthe Truyen,4
Lonneke Uneken,4
Margot Vanpachtenbeke,4
Blanka Vas,4
Margaux Vigie,4
Ally Wollaston,4
Katrine Aalerud,3
Loes Adegeest,3
Sandra Alonso,3
Ceylin del Carmen Alvarado,3
Alena Amialiusik,3
Katie Archibald,3
Alice Maria Arzuffi,3
Georgia Baker,3
Olivia Baril,3
Teuntje Beekhuis,3
Aude Biannic,3
Simone Boilard,3
Maaike Boogaard,3
Julia Borgstrom,3
Marion Borras,3
Eugenia Bujak,3
Teniel Campbell,3
Sanne Cant,3
Alana Castrique,3
Brodie Chapman,3
Tiffany Cromwell,3
Katrijn De Clercq,3
Marieke De Groot,3
Thalita De Jong,3
Mylene De Zoete,3
Valerie Demey,3
Mieke Docx,3
Krista Doebel-hickok,3
Tamara Dronova-balabolina,3
Kelly Druyts,3
Eugenie Duval,3
Jelena Eric,3
Veronica Ewers,3
Emilia Fahlin,3
Arianna Fidanza,3
Martina Fidanza,3
Valentine Fortin,3
Ingvild Gaskjenn,3
Eleonora Camilla Gasparrini,3
Femke Gerritse,3
Alicia Gonzalez,3
Marthe Goossens,3
Maelle Grossetete,3
Victorie Guilman,3
Sheyla Gutierrez,3
Lauretta Hanson,3
Elizabeth Holden,3
Marta Jaskulska,3
Romy Kasper,3
Spela Kern,3
Nina Kessler,3
Anna Kiesenhofer,3
Lisa Klein,3
Franziska Koch,3
Jeanne Korevaar,3
Amber Kraak,3
Marie-Morgane Le Deunff,3
Marie Le Net,3
Joscelin Lowden,3
Alexandra Manly,3
Mareille Meijering,3
Fleur Moors,3
Tereza Neumanova,3
Antonia Niedermaier,3
Hanna Nilsson,3
Lieke Nooijen,3
Paula Patino,3
Daria Pikulik,3
Ilse Pluimers,3
Eglantine Rayer,3
Noemi Ruegg,3
Noelle Ruetschi,3
Kaja Rysz,3
Ilaria Sanguineti,3
Marie Schreiber,3
Elizabeth Stannard,3
Claire Steels,3
Sabrina Stultiens,3
April Tacey,3
Lea Lin Teutenberg,3
Quinty Ton,3
Anna Trevisi,3
Elise Uijen,3
Eva Van Agt,3
Aniek Van Alphen,3
Julie Van De Velde,3
Cecilia Van Zuthem,3
Marith Vanhove,3
Gladys Verhulst-wild,3
Nienke Vinke,3
Emily Watts,3
Lily Williams,3
Alice Wood,3
Anne Dorthe Ysland,3
Silvia Zanardi,3