Race,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Classification,Type
Omloop Het Nieuwsblad ,KOPECKY Lotte,WIEBES Lorena,BASTIANELLI Marta,NORSGAARD Emma,GEORGI Pfeiffer,KOSTER Anouska,TON Quinty,SCHWEINBERGER Christina,PALADIN Soraya,LONGO BORGHINI Elisa,SWINKELS Karlijn,VIGIE Margaux,BERTIZZOLO Sofia,REUSSER Marlen,BOSSUYT Shari,BROWN Grace,VOLLERING Demi,ARZUFFI Alice Maria,MARKUS Riejanne,LUDWIG Cecilie Uttrup,MACKAIJ Floortje,HENDERSON Anna,LIPPERT Liane,NIEWIADOMA Katarzyna,AMIALIUSIK Alena,World Tour,Vlak
Omloop van het Hageland ,WIEBES Lorena,BASTIANELLI Marta,CORDON-RAGOT Audrey,FIDANZA Arianna,FOURNIER Roxane,PATERNOSTER Letizia,DE WILDE Julie,BIANNIC Aude,HANSON Lauretta,DE ZOETE Mylène,BORGHESI Letizia,BOILARD Simone,VAN ZUTHEM Cecilia,GUTIÉRREZ Sheyla,REUSSER Marlen,JACKSON Alison,VIGIE Margaux,CHAPMAN Brodie,VANPACHTENBEKE Margot,VIGILIA Alessia,MACKAIJ Floortje,TRUYEN Marthe,MARKUS Femke,DEMAY Coralie,UNEKEN Lonneke,niet-World Tour,Sprint
Le Samyn,BASTIANELLI Marta,CONFALONIERI Maria Giulia,GUAZZINI Vittoria,CORDON-RAGOT Audrey,NOOIJEN Lieke,VAN 'T GELOOF Marjolein,VIGIE Margaux,TRUYEN Marthe,DOCX Mieke,FOURNIER Roxane,VANDENBULCKE Jesse,LE DEUNFF Marie-Morgane,BURLOVÁ Kristýna,LAURANCE Typhaine,TOMASI Laura,VAN ROOIJEN Sofie,PERKINS Flora,ANDERSEN Susanne,WIEL Jade,GROSSETÊTE Maëlle,ARMITAGE Megan,CASTRIQUE Alana,BERG EDSETH Marte,YSLAND Anne Dorthe,KUMIEGA Karolina,niet-World Tour,Vlak
Strade Bianche ,VOLLERING Demi,KOPECKY Lotte,LUDWIG Cecilie Uttrup,VAN VLEUTEN Annemiek,PIETERSE Puck,NIEWIADOMA Katarzyna,LIPPERT Liane,MARKUS Riejanne,GEORGI Pfeiffer,MACKAIJ Floortje,GARCÍA Mavi,MOOLMAN Ashleigh,SANTESTEBAN Ane,KASTELIJN Yara,BROWN Grace,BAUERNFEIND Ricarda,SPRATT Amanda,KERN Špela,ARZUFFI Alice Maria,STEPHENS Lauren,SCHWEINBERGER Christina,PALADIN Soraya,MAGNALDI Erica,ROSEMAN-GANNON Ruby,CHABBEY Elise,World Tour,Berg
Ronde van Drenthe,WIEBES Lorena,ANDERSEN Susanne,VAN DER DUIN Maike,BALSAMO Elisa,CONFALONIERI Maria Giulia,HENTTALA Lotta,GUAZZINI Vittoria,SWINKELS Karlijn,PATERNOSTER Letizia,HENDERSON Anna,UNEKEN Lonneke,GROSSETÊTE Maëlle,DE WILDE Julie,FIDANZA Arianna,MAJERUS Christine,SANGUINETI Ilaria,LACH Marta,BORGHESI Letizia,DEMEY Valerie,CONSONNI Chiara,DIJKSTRA Anneke,HANSON Lauretta,UIJEN Elise,LUNDMARK Clara,RÜEGG Noemi,World Tour,Sprint
Danilith Nokere Koerse,KOPECKY Lotte,WIEBES Lorena,BASTIANELLI Marta,BALSAMO Elisa,SIERRA Arlenis,HENTTALA Lotta,DE WILDE Julie,HENDERSON Anna,LACH Marta,PATERNOSTER Letizia,CONFALONIERI Maria Giulia,NEUMANOVA Tereza,VIGIE Margaux,MEIJERING Mareille,SCHWEINBERGER Kathrin,FOURNIER Roxane,ARZUFFI Alice Maria,GONZÁLEZ Alicia,BEEKHUIS Teuntje,ROSEMAN-GANNON Ruby,ROBERTS Jessica,MAJERUS Christine,BARKER Elinor,MARKUS Femke,TACEY April,niet-World Tour,Sprint
Trofeo Alfredo Binda,VAN ANROOIJ Shirin,BALSAMO Elisa,GUAZZINI Vittoria,SIERRA Arlenis,PALADIN Soraya,PERSICO Silvia,UIJEN Elise,GHEKIERE Justine,STEELS Claire,GARCÍA Mavi,KASTELIJN Yara,LABOUS Juliette,CAVALLI Marta,BAUERNFEIND Ricarda,NIEWIADOMA Katarzyna,SPRATT Amanda,REALINI Gaia,WIEBES Lorena,BROWN Grace,VOS Marianne,ADEGEEST Loes,VIGILIA Alessia,SWINKELS Karlijn,CHABBEY Elise,SANTESTEBAN Ane,World Tour,Berg
Classic Brugge-De Panne,GEORGI Pfeiffer,BALSAMO Elisa,WIEBES Lorena,JASTRAB Megan,BOSSUYT Shari,DIDERIKSEN Amalie,VAN DER DUIN Maike,SCHWEINBERGER Christina,CONSONNI Chiara,SANGUINETI Ilaria,NORMAN LETH Julie,CROMWELL Tiffany,JASKULSKA Marta,MARTINS Maria,COPPONI Clara,TRUYEN Marthe,MAJERUS Christine,VAN ZUTHEM Cecilia,KERBAOL Cédrine,BORGSTRÖM Julia,BRAAM Danique,BIANNIC Aude,KOCH Franziska,RYSZ Kaja,VAN DER WOLF Babette,World Tour,Sprint
Gent-Wevelgem in Flanders Fields,REUSSER Marlen,JASTRAB Megan,VAN DER DUIN Maike,SWINKELS Karlijn,SCHWEINBERGER Christina,BASTIANELLI Marta,BARKER Elinor,COPPONI Clara,HENDERSON Anna,BOSSUYT Shari,GEORGI Pfeiffer,MAJERUS Christine,COLES-LYSTER Maggie,FORTIN Valentine,ROSEMAN-GANNON Ruby,BORGHESI Letizia,BIANNIC Aude,CANT Sanne,TEUTENBERG Lea Lin,CONFALONIERI Maria Giulia,BEEKHUIS Teuntje,NOVOLODSKAIA Maria,VAN HAAFTEN Kirstie,VAN ANROOIJ Shirin,KASPER Romy,World Tour,Vlak
Dwars door Vlaanderen,VOLLERING Demi,CONSONNI Chiara,VOS Marianne,GUAZZINI Vittoria,ROSEMAN-GANNON Ruby,MACKAIJ Floortje,REUSSER Marlen,LIPPERT Liane,VAN ANROOIJ Shirin,MOOLMAN Ashleigh,LONGO BORGHINI Elisa,BREDEWOLD Mischa,BÄCKSTEDT Zoe,BERTEAU Victoire,JASKULSKA Marta,VIGIE Margaux,LABOUS Juliette,GASPARRINI Eleonora Camilla,VAN AGT Eva,CURINIER Léa,LUDWIG Cecilie Uttrup,BARKER Elinor,PERKINS Flora,BRAND Lucinda,MUZIC Évita,niet-World Tour,Vlak
Ronde van Vlaanderen,KOPECKY Lotte,VOLLERING Demi,LONGO BORGHINI Elisa,PERSICO Silvia,NIEWIADOMA Katarzyna,LABOUS Juliette,REUSSER Marlen,VAN ANROOIJ Shirin,HENDERSON Anna,SIERRA Arlenis,CHABBEY Elise,BRAND Lucinda,VAN DER DUIN Maike,WIEBES Lorena,VOS Marianne,GEORGI Pfeiffer,ROSEMAN-GANNON Ruby,BOSSUYT Shari,MAJERUS Christine,KOSTER Anouska,VIGIE Margaux,SCHWEINBERGER Christina,KASPER Romy,BROWN Grace,SWINKELS Karlijn,Monument,Vlak
Scheldeprijs,WIEBES Lorena,KOOL Charlotte,CONSONNI Chiara,BARBIERI Rachele,FIDANZA Martina,BURLOVÁ Kristýna,SCHWEINBERGER Kathrin,COLES-LYSTER Maggie,TACEY April,PATERNOSTER Letizia,FOURNIER Roxane,RÜETSCHI Noëlle,DANFORD Georgia,BARIANI Giorgia,MARTINS Maria,DRUYTS Kelly,VANHOVE Marith,RYSZ Kaja,SHARPE Alice,FIDANZA Arianna,HENGEVELD Daniek,GUARISCHI Barbara,BRAAM Danique,BAKKER Minke,COLBORNE Henrietta,niet-World Tour,Sprint
Parijs-Roubaix,JACKSON Alison,RAGUSA Katia,TRUYEN Marthe,DUVAL Eugénie,BORRAS Marion,LACH Marta,KOPECKY Lotte,GEORGI Pfeiffer,CONSONNI Chiara,VOS Marianne,NORMAN LETH Julie,BRAND Lucinda,BROWN Grace,VIGIE Margaux,SCHWEINBERGER Christina,CHABBEY Elise,KASPER Romy,PATE Amber,MARKUS Femke,VANDENBULCKE Jesse,LONGO BORGHINI Elisa,BORGSTRÖM Julia,TOWERS Alice,BASTIANELLI Marta,MARTINS Maria,Monument,Vlak
Brabantse Pijl,PERSICO Silvia,VOLLERING Demi,LIPPERT Liane,CHABBEY Elise,VAN ANROOIJ Shirin,REUSSER Marlen,VANPACHTENBEKE Margot,BERTEAU Victoire,PALADIN Soraya,BREDEWOLD Mischa,MUZIC Évita,MOOLMAN Ashleigh,HENDERSON Anna,HARRIS Ella,ROSEMAN-GANNON Ruby,KOSTER Anouska,KASTELIJN Yara,SANTESTEBAN Ane,FAULKNER Kristen,GARCÍA Mavi,BARIL Olivia,STEELS Claire,REALINI Gaia,SPRATT Amanda,CAVALLI Marta,niet-World Tour,Berg
Amstel Gold Race,VOLLERING Demi,KOPECKY Lotte,VAN ANROOIJ Shirin,NIEWIADOMA Katarzyna,PALADIN Soraya,BROWN Grace,GEORGI Pfeiffer,MOOLMAN Ashleigh,PERSICO Silvia,LUDWIG Cecilie Uttrup,VAN VLEUTEN Annemiek,SANTESTEBAN Ane,CHABBEY Elise,MARKUS Riejanne,LIPPERT Liane,GARCÍA Mavi,VOS Marianne,LABOUS Juliette,FAULKNER Kristen,GEURTS Mijntje,BAUERNFEIND Ricarda,GHEKIERE Justine,KERBAOL Cédrine,ADEGEEST Loes,KASTELIJN Yara,World Tour,Berg
Waalse Pijl,VOLLERING Demi,LIPPERT Liane,REALINI Gaia,GARCÍA Mavi,MUZIC Évita,MOOLMAN Ashleigh,VAN VLEUTEN Annemiek,PERSICO Silvia,CHABBEY Elise,KASTELIJN Yara,NIEWIADOMA Katarzyna,LABOUS Juliette,BAUERNFEIND Ricarda,EWERS Veronica,VAN ANROOIJ Shirin,BARKER Elinor,LONGO BORGHINI Elisa,VAN AGT Eva,GHEKIERE Justine,KOSTER Anouska,GEURTS Mijntje,MAGNALDI Erica,KOPPENBURG Clara,GÅSKJENN Ingvild,HARRIS Ella,World Tour,Berg
Luik-Bastenaken-Luik ,VOLLERING Demi,LONGO BORGHINI Elisa,REUSSER Marlen,MARKUS Riejanne,CHABBEY Elise,VAN VLEUTEN Annemiek,REALINI Gaia,LIPPERT Liane,PALADIN Soraya,FISHER-BLACK Niamh,NIEWIADOMA Katarzyna,SANTESTEBAN Ane,LABOUS Juliette,MAGNALDI Erica,VAN ANROOIJ Shirin,KERBAOL Cédrine,MUZIC Évita,KASTELIJN Yara,MOOLMAN Ashleigh,GARCÍA Mavi,BAUERNFEIND Ricarda,KRAAK Amber,CAVALLI Marta,SPRATT Amanda,GHEKIERE Justine,Monument,Berg